Entity,Code,Year,Gini coefficient,Primary energy consumption per capita (kWh/person),GDP per capita,Human Development Index (UNDP),"Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018))",Net imports (TWh),Oil production per capita (kWh),Urban population (% of total population),Renewables per capita (kWh - equivalent)
Australia,AUS,2001,0.334647977,68528.65625,37275.99219,0.9,11.9,0,20794.69727,84.09999847,2.652581055
Australia,AUS,2003,0.335005161,69346.26563,39523.65625,0.904,11.8,0,17496.31445,84.34300232,2.784230713
Australia,AUS,2004,0.330574095,70647.3125,40887.72656,0.907,11.8,0,15083.72461,84.46299744,2.851721436
Australia,AUS,2008,0.354285083,71804.07813,44421.64063,0.92,12.3,0,13393.15918,84.94300079,2.643342041
Australia,AUS,2010,0.346567276,68104.71094,45400.22266,0.923,12.4,0,12933.29785,85.18199921,2.937223389
Australia,AUS,2014,0.343994314,66238.42188,47867,0.933,12.7,0,9169.69043,85.60199738,3.960939941
Australia,AUS,2016,0.336858105,66190,48845,0.938,12.9,0,7358.868652,85.80000305,4.758515137
Austria,AUT,1994,0.313223423,44036.74219,28780.75977,0.813,8.8,-0.82,1743.337646,61.86999893,13.78187012
Austria,AUT,1995,0.310592689,45935.61719,29621.68164,0.817,8.9,-2.47,1887.57605,61.59600067,14.47703223
Austria,AUT,1997,0.302298534,46716.61719,31173.04883,0.824,8.9,-0.77,1564.273071,61.04499817,13.99791797
Austria,AUT,2000,0.288371061,48508.01953,34796.25781,0.838,9,-1.37,1578.493896,60.21300125,15.98545801
Austria,AUT,2003,0.294660779,50178.69922,36063.12109,0.842,9.6,5.61,1579.755615,59.375,12.61518359
Austria,AUT,2004,0.297889898,50855.55078,36957.11328,0.849,9.8,3.08,1589.101196,59.09400177,14.05331348
Austria,AUT,2005,0.287154333,51512.47656,37642.76172,0.855,9.9,2.62,1423.785034,58.81299973,14.39663477
Austria,AUT,2006,0.295875829,50780.26563,38866.84766,0.861,10.1,6.34,1468.512573,58.5320015,14.51869238
Austria,AUT,2007,0.305799959,49533.32422,40305.27344,0.881,11.6,6.02,1499.765015,58.24900055,15.34572559
Austria,AUT,2008,0.304373858,50326.61719,40964.79297,0.884,11.5,4.86,1465.447388,57.9659996,15.77511914
Austria,AUT,2009,0.314962324,48583.73047,39463.65625,0.886,11.7,0.78,1469.535645,57.68299866,16.67515625
Austria,AUT,2010,0.302522631,49949.62109,40288.34766,0.895,11.8,2.44,1504.638672,57.39899826,15.78689941
Austria,AUT,2011,0.308016687,46531.44531,41446,0.897,11.8,8.2,1562.371704,57.11500168,14.29482813
Austria,AUT,2012,0.304763178,48707.64063,41565,0.899,11.8,2.8,1505.45105,57.14699936,17.50033594
Austria,AUT,2013,0.307531331,48070.70313,41375,0.897,11.9,7.27,1270.666016,57.33599854,16.9529375
Austria,AUT,2014,0.305356828,45829.26563,41338,0.901,12.1,9.27,1337.601074,57.52600098,16.79198047
Austria,AUT,2015,0.30532775,45546.71094,41294,0.903,12.1,10.06,1277.762573,57.71500015,15.92498828
Austria,AUT,2016,0.30797074,46702.40234,41445,0.906,12.1,7.16,1120.278564,57.90499878,16.65027148
Azerbaijan,AZE,2001,0.364549364,15481.16699,4498.794434,0.648,10.6,0.23,21251.61523,51.5870018,0.466258942
Azerbaijan,AZE,2002,0.252776662,15153.92188,4880.399902,0.657,10.6,1.48,21545.61133,51.78699875,0.712335327
Azerbaijan,AZE,2003,0.268328779,16231.97949,5408.522949,0.666,10.6,1.63,21389.41602,51.98799896,0.856708069
Azerbaijan,AZE,2004,0.266215925,18215.0625,5971.474609,0.674,10.6,1.37,21279.38086,52.18899918,0.939638916
